model,class,accuracy,f1,precision,recall
Logistic Regression,external_baseline,0.834 ± 0.009,0.838 ± 0.009,0.834 ± 0.015,0.842 ± 0.004
Gradient Boosting,external_baseline,0.892 ± 0.006,0.895 ± 0.007,0.886 ± 0.007,0.903 ± 0.007
Random Forest,external_baseline,0.868 ± 0.001,0.870 ± 0.002,0.869 ± 0.005,0.872 ± 0.009
MLP,external_baseline,0.871 ± 0.005,0.874 ± 0.004,0.869 ± 0.011,0.880 ± 0.004
Плоская базовая конфигурация,RuFLEX,0.737 ± 0.011,0.733 ± 0.009,0.758 ± 0.026,0.710 ± 0.008
Плоская интерпретируемая конфигурация,RuFLEX,0.650 ± 0.117,0.482 ± 0.341,0.514 ± 0.368,0.465 ± 0.338
Глубокая конфигурация с одним скрытым уровнем,RuFLEX,0.820 ± 0.011,0.823 ± 0.012,0.823 ± 0.014,0.823 ± 0.015
Строго последовательная глубокая конфигурация,RuFLEX,0.746 ± 0.008,0.745 ± 0.012,0.761 ± 0.013,0.729 ± 0.017
Глубокая конфигурация с объединением исходных признаков и финальной стадии,RuFLEX,0.824 ± 0.010,0.827 ± 0.012,0.827 ± 0.007,0.827 ± 0.018
Контекстная глубокая конфигурация,RuFLEX,0.825 ± 0.012,0.826 ± 0.015,0.833 ± 0.008,0.820 ± 0.023
