Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,CoverTypeBinary
3071.0,287.0,5.0,641.0,4.0,2721.0,206.0,240.0,172.0,1149.0,0
2679.0,108.0,12.0,124.0,28.0,1894.0,240.0,226.0,114.0,277.0,1
2948.0,79.0,11.0,309.0,17.0,2045.0,234.0,220.0,117.0,942.0,0
3295.0,216.0,8.0,531.0,73.0,3655.0,212.0,248.0,173.0,2577.0,0
3004.0,250.0,15.0,618.0,98.0,5777.0,187.0,249.0,199.0,4898.0,1
3175.0,162.0,13.0,216.0,26.0,981.0,233.0,243.0,138.0,2100.0,0
3277.0,141.0,7.0,390.0,51.0,1719.0,230.0,238.0,141.0,666.0,0
3303.0,312.0,14.0,513.0,75.0,1890.0,183.0,229.0,187.0,895.0,0
3192.0,4.0,10.0,659.0,181.0,872.0,207.0,221.0,151.0,1989.0,0
3100.0,331.0,18.0,95.0,18.0,3017.0,176.0,215.0,178.0,631.0,0
3016.0,69.0,8.0,234.0,40.0,1677.0,229.0,224.0,128.0,1813.0,1
2945.0,331.0,15.0,67.0,14.0,3803.0,183.0,220.0,175.0,1291.0,0
3249.0,17.0,11.0,270.0,-29.0,1421.0,211.0,218.0,142.0,1513.0,0
3167.0,331.0,17.0,537.0,146.0,874.0,177.0,216.0,177.0,1830.0,0
2987.0,82.0,10.0,402.0,99.0,2353.0,235.0,222.0,118.0,1736.0,1
2981.0,329.0,6.0,190.0,22.0,4742.0,207.0,233.0,165.0,2440.0,0
2985.0,72.0,7.0,497.0,13.0,5372.0,228.0,227.0,133.0,6482.0,0
2766.0,104.0,10.0,272.0,36.0,2609.0,238.0,227.0,119.0,2135.0,1
2910.0,284.0,13.0,95.0,32.0,2560.0,184.0,240.0,196.0,713.0,0
3418.0,79.0,17.0,524.0,133.0,2125.0,240.0,207.0,92.0,1500.0,0
3024.0,181.0,10.0,234.0,23.0,1458.0,224.0,247.0,155.0,516.0,0
2750.0,308.0,25.0,495.0,-4.0,892.0,144.0,216.0,208.0,1266.0,1
3032.0,240.0,7.0,446.0,37.0,1181.0,208.0,246.0,176.0,1719.0,1
2965.0,45.0,24.0,192.0,43.0,5021.0,218.0,179.0,83.0,3094.0,0
2988.0,189.0,22.0,85.0,16.0,720.0,215.0,250.0,158.0,1500.0,1
2623.0,28.0,10.0,268.0,17.0,2651.0,216.0,217.0,136.0,2602.0,1
3291.0,166.0,14.0,573.0,89.0,2768.0,231.0,244.0,142.0,1165.0,0
2886.0,292.0,4.0,0.0,0.0,4994.0,207.0,239.0,170.0,1400.0,1
3045.0,133.0,22.0,738.0,217.0,4498.0,248.0,224.0,93.0,1543.0,1
2687.0,3.0,10.0,418.0,64.0,1276.0,207.0,221.0,152.0,1431.0,1
3031.0,359.0,11.0,255.0,36.0,2387.0,203.0,220.0,154.0,2030.0,1
2945.0,40.0,16.0,642.0,-39.0,860.0,220.0,203.0,113.0,543.0,1
2936.0,0.0,3.0,420.0,21.0,3719.0,215.0,234.0,156.0,5763.0,1
3000.0,338.0,17.0,319.0,45.0,3354.0,182.0,214.0,171.0,2044.0,0
3303.0,108.0,4.0,212.0,48.0,5893.0,226.0,235.0,144.0,421.0,0
2765.0,62.0,5.0,361.0,42.0,2650.0,224.0,230.0,142.0,6779.0,0
3172.0,220.0,20.0,108.0,21.0,2073.0,193.0,254.0,192.0,418.0,1
3120.0,335.0,18.0,124.0,17.0,3750.0,178.0,213.0,174.0,3211.0,0
3198.0,40.0,7.0,285.0,24.0,2014.0,221.0,224.0,138.0,3027.0,1
3129.0,327.0,8.0,67.0,14.0,1071.0,201.0,231.0,170.0,1514.0,0
3395.0,196.0,14.0,671.0,195.0,2329.0,216.0,251.0,166.0,918.0,0
2818.0,37.0,14.0,201.0,43.0,1653.0,219.0,208.0,122.0,2592.0,0
3060.0,80.0,11.0,201.0,25.0,2089.0,234.0,221.0,118.0,1401.0,0
3264.0,155.0,15.0,342.0,31.0,2180.0,237.0,240.0,129.0,1165.0,1
3080.0,315.0,1.0,228.0,22.0,1405.0,215.0,237.0,160.0,2138.0,1
2995.0,148.0,15.0,120.0,22.0,4735.0,239.0,238.0,124.0,3389.0,1
2708.0,45.0,6.0,150.0,19.0,2015.0,222.0,227.0,141.0,5584.0,1
2887.0,128.0,24.0,95.0,16.0,1775.0,251.0,217.0,79.0,1829.0,1
3469.0,3.0,28.0,420.0,176.0,2561.0,172.0,176.0,132.0,2359.0,0
3279.0,349.0,4.0,618.0,81.0,1207.0,213.0,233.0,158.0,1728.0,0
2877.0,8.0,7.0,30.0,0.0,1031.0,212.0,227.0,152.0,2233.0,0
2930.0,355.0,14.0,30.0,4.0,2053.0,196.0,214.0,155.0,834.0,0
3209.0,320.0,8.0,408.0,25.0,797.0,199.0,233.0,173.0,1801.0,0
3101.0,230.0,8.0,300.0,-19.0,2252.0,207.0,248.0,177.0,1774.0,1
2797.0,105.0,7.0,162.0,12.0,2073.0,232.0,232.0,133.0,2289.0,1
2833.0,332.0,16.0,134.0,31.0,1492.0,182.0,218.0,175.0,2701.0,1
2676.0,152.0,4.0,450.0,76.0,1044.0,224.0,239.0,151.0,2611.0,1
2698.0,135.0,5.0,540.0,-17.0,1055.0,229.0,238.0,143.0,1572.0,1
3092.0,239.0,4.0,514.0,21.0,2588.0,212.0,243.0,169.0,1123.0,0
2760.0,35.0,4.0,90.0,4.0,1879.0,219.0,231.0,148.0,1651.0,1
2995.0,108.0,12.0,108.0,18.0,993.0,240.0,226.0,115.0,2208.0,1
3352.0,135.0,7.0,300.0,152.0,2868.0,232.0,237.0,137.0,531.0,0
2682.0,85.0,14.0,170.0,-1.0,671.0,239.0,216.0,104.0,1191.0,1
2923.0,249.0,25.0,459.0,274.0,1902.0,158.0,248.0,222.0,1590.0,1
2879.0,20.0,10.0,0.0,0.0,495.0,213.0,218.0,141.0,1902.0,0
2548.0,344.0,10.0,30.0,7.0,1148.0,199.0,224.0,163.0,649.0,1
2520.0,145.0,17.0,30.0,7.0,570.0,241.0,235.0,117.0,300.0,1
3005.0,200.0,15.0,108.0,29.0,1594.0,214.0,252.0,169.0,446.0,1
2868.0,70.0,22.0,573.0,187.0,940.0,237.0,190.0,73.0,443.0,0
3361.0,268.0,8.0,837.0,104.0,947.0,199.0,243.0,184.0,2233.0,0
3200.0,119.0,11.0,30.0,-11.0,1025.0,239.0,230.0,120.0,2850.0,1
3097.0,245.0,5.0,366.0,52.0,1772.0,210.0,244.0,172.0,671.0,1
3163.0,314.0,13.0,120.0,24.0,2529.0,184.0,229.0,185.0,430.0,0
2854.0,48.0,20.0,497.0,56.0,2644.0,223.0,193.0,96.0,228.0,0
2647.0,127.0,5.0,210.0,0.0,696.0,229.0,237.0,142.0,1768.0,1
2965.0,91.0,15.0,153.0,37.0,5454.0,242.0,215.0,99.0,1698.0,0
3141.0,72.0,5.0,190.0,-2.0,4673.0,226.0,230.0,138.0,1948.0,0
3094.0,138.0,6.0,497.0,60.0,5134.0,230.0,238.0,142.0,1617.0,0
3128.0,309.0,13.0,120.0,1.0,3636.0,183.0,231.0,188.0,1172.0,0
