accepted_case_fnr,accepted_false_negative_count,accepted_positive_count,dataset,delta_fnr,delta_fnr_ci_95,model,policy,reason_codes
0.4426229508196721,27,61,ai4i_2020,0.0,"[0.0, 0.0]",logistic_regression,no_review,[]
0.9130434782608695,21,23,ai4i_2020,0.0,"[0.0, 0.0]",logistic_regression,confidence_only_frozen,[]
0.9130434782608695,21,23,ai4i_2020,0.0,"[0.0, 0.0]",logistic_regression,stability_gate_frozen,[]
0.32786885245901637,20,61,ai4i_2020,0.037515762925598994,"[-0.0036082251082251147, 0.08364213379927103]",decision_tree,no_review,[]
0.32786885245901637,20,61,ai4i_2020,0.037515762925598994,"[-0.0036082251082251147, 0.08364213379927103]",decision_tree,confidence_only_frozen,[]
0.36538461538461536,19,52,ai4i_2020,0.037515762925598994,"[-0.0036082251082251147, 0.08364213379927103]",decision_tree,stability_gate_frozen,[]
0.3442622950819672,21,61,ai4i_2020,0.0,"[0.0, 0.0]",random_forest,no_review,[]
0.7142857142857143,10,14,ai4i_2020,0.0,"[0.0, 0.0]",random_forest,confidence_only_frozen,[]
0.7142857142857143,10,14,ai4i_2020,0.0,"[0.0, 0.0]",random_forest,stability_gate_frozen,[]
0.3770491803278688,23,61,ai4i_2020,0.0,"[0.0, 0.0]",gradient_boosting,no_review,[]
0.52,13,25,ai4i_2020,0.0,"[0.0, 0.0]",gradient_boosting,confidence_only_frozen,[]
0.52,13,25,ai4i_2020,0.0,"[0.0, 0.0]",gradient_boosting,stability_gate_frozen,[]
0.7540983606557377,46,61,ai4i_2020,0.0,"[0.0, 0.0]",flat_neuro_fuzzy,no_review,[]
1.0,41,41,ai4i_2020,0.0,"[0.0, 0.0]",flat_neuro_fuzzy,confidence_only_frozen,[]
1.0,40,40,ai4i_2020,0.0,"[0.0, 0.0]",flat_neuro_fuzzy,stability_gate_frozen,[]
