dataset,h1,h2,h3,model,reasons
ai4i_2020,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,logistic_regression,[]
ai4i_2020,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,SUPPORTS_H3,decision_tree,[]
ai4i_2020,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,random_forest,[]
ai4i_2020,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,gradient_boosting,[]
ai4i_2020,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,flat_neuro_fuzzy,[]
uci_bank_marketing,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,logistic_regression,[]
uci_bank_marketing,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,CONTRADICTS_H3,decision_tree,[]
uci_bank_marketing,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,random_forest,[]
uci_bank_marketing,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,gradient_boosting,[]
uci_bank_marketing,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,flat_neuro_fuzzy,[]
wisconsin_diagnostic,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,logistic_regression,[]
wisconsin_diagnostic,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,decision_tree,[]
wisconsin_diagnostic,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,random_forest,[]
wisconsin_diagnostic,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,gradient_boosting,[]
wisconsin_diagnostic,NOT_ASSESSABLE,FROZEN_PHASE1_STATUS,INCONCLUSIVE,flat_neuro_fuzzy,[]
