dataset_id,model_family,confidence_threshold,agreement_threshold,high_confidence_n,unstable_n,hcir
ai4i_2020,decision_tree,0.85,0.7,2000,16,0.008
ai4i_2020,decision_tree,0.85,0.8,2000,18,0.009
ai4i_2020,decision_tree,0.85,0.9,2000,20,0.01
ai4i_2020,decision_tree,0.9,0.7,2000,16,0.008
ai4i_2020,decision_tree,0.9,0.8,2000,18,0.009
ai4i_2020,decision_tree,0.9,0.9,2000,20,0.01
ai4i_2020,decision_tree,0.95,0.7,2000,16,0.008
ai4i_2020,decision_tree,0.95,0.8,2000,18,0.009
ai4i_2020,decision_tree,0.95,0.9,2000,20,0.01
ai4i_2020,flat_neuro_fuzzy,0.85,0.7,1933,28,0.014485256078634247
ai4i_2020,flat_neuro_fuzzy,0.85,0.8,1933,31,0.01603724780134506
ai4i_2020,flat_neuro_fuzzy,0.85,0.9,1933,34,0.01758923952405587
ai4i_2020,flat_neuro_fuzzy,0.9,0.7,1787,0,0.0
ai4i_2020,flat_neuro_fuzzy,0.9,0.8,1787,0,0.0
ai4i_2020,flat_neuro_fuzzy,0.9,0.9,1787,0,0.0
ai4i_2020,flat_neuro_fuzzy,0.95,0.7,1590,0,0.0
ai4i_2020,flat_neuro_fuzzy,0.95,0.8,1590,0,0.0
ai4i_2020,flat_neuro_fuzzy,0.95,0.9,1590,0,0.0
ai4i_2020,gradient_boosting,0.85,0.7,1930,0,0.0
ai4i_2020,gradient_boosting,0.85,0.8,1930,0,0.0
ai4i_2020,gradient_boosting,0.85,0.9,1930,0,0.0
ai4i_2020,gradient_boosting,0.9,0.7,1901,0,0.0
ai4i_2020,gradient_boosting,0.9,0.8,1901,0,0.0
ai4i_2020,gradient_boosting,0.9,0.9,1901,0,0.0
ai4i_2020,gradient_boosting,0.95,0.7,1859,0,0.0
ai4i_2020,gradient_boosting,0.95,0.8,1859,0,0.0
ai4i_2020,gradient_boosting,0.95,0.9,1859,0,0.0
ai4i_2020,logistic_regression,0.85,0.7,1905,0,0.0
ai4i_2020,logistic_regression,0.85,0.8,1905,0,0.0
ai4i_2020,logistic_regression,0.85,0.9,1905,0,0.0
ai4i_2020,logistic_regression,0.9,0.7,1833,0,0.0
ai4i_2020,logistic_regression,0.9,0.8,1833,0,0.0
ai4i_2020,logistic_regression,0.9,0.9,1833,0,0.0
ai4i_2020,logistic_regression,0.95,0.7,1698,0,0.0
ai4i_2020,logistic_regression,0.95,0.8,1698,0,0.0
ai4i_2020,logistic_regression,0.95,0.9,1698,0,0.0
ai4i_2020,random_forest,0.85,0.7,1890,1,0.0005291005291005291
ai4i_2020,random_forest,0.85,0.8,1890,2,0.0010582010582010583
ai4i_2020,random_forest,0.85,0.9,1890,4,0.0021164021164021165
ai4i_2020,random_forest,0.9,0.7,1859,0,0.0
ai4i_2020,random_forest,0.9,0.8,1859,0,0.0
ai4i_2020,random_forest,0.9,0.9,1859,0,0.0
ai4i_2020,random_forest,0.95,0.7,1788,0,0.0
ai4i_2020,random_forest,0.95,0.8,1788,0,0.0
ai4i_2020,random_forest,0.95,0.9,1788,0,0.0
uci_bank_marketing,decision_tree,0.85,0.7,8188,403,0.04921836834391793
uci_bank_marketing,decision_tree,0.85,0.8,8188,507,0.061919882755251586
uci_bank_marketing,decision_tree,0.85,0.9,8188,607,0.07413287738153396
uci_bank_marketing,decision_tree,0.9,0.7,8188,403,0.04921836834391793
uci_bank_marketing,decision_tree,0.9,0.8,8188,507,0.061919882755251586
uci_bank_marketing,decision_tree,0.9,0.9,8188,607,0.07413287738153396
uci_bank_marketing,decision_tree,0.95,0.7,8188,403,0.04921836834391793
uci_bank_marketing,decision_tree,0.95,0.8,8188,507,0.061919882755251586
uci_bank_marketing,decision_tree,0.95,0.9,8188,607,0.07413287738153396
uci_bank_marketing,flat_neuro_fuzzy,0.85,0.7,8024,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.85,0.8,8024,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.85,0.9,8024,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.9,0.7,1720,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.9,0.8,1720,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.9,0.9,1720,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.95,0.7,1355,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.95,0.8,1355,0,0.0
uci_bank_marketing,flat_neuro_fuzzy,0.95,0.9,1355,0,0.0
uci_bank_marketing,gradient_boosting,0.85,0.7,6953,0,0.0
uci_bank_marketing,gradient_boosting,0.85,0.8,6953,0,0.0
uci_bank_marketing,gradient_boosting,0.85,0.9,6953,0,0.0
uci_bank_marketing,gradient_boosting,0.9,0.7,6472,0,0.0
uci_bank_marketing,gradient_boosting,0.9,0.8,6472,0,0.0
uci_bank_marketing,gradient_boosting,0.9,0.9,6472,0,0.0
uci_bank_marketing,gradient_boosting,0.95,0.7,2784,0,0.0
uci_bank_marketing,gradient_boosting,0.95,0.8,2784,0,0.0
uci_bank_marketing,gradient_boosting,0.95,0.9,2784,0,0.0
uci_bank_marketing,logistic_regression,0.85,0.7,6818,0,0.0
uci_bank_marketing,logistic_regression,0.85,0.8,6818,0,0.0
uci_bank_marketing,logistic_regression,0.85,0.9,6818,0,0.0
uci_bank_marketing,logistic_regression,0.9,0.7,6301,0,0.0
uci_bank_marketing,logistic_regression,0.9,0.8,6301,0,0.0
uci_bank_marketing,logistic_regression,0.9,0.9,6301,0,0.0
uci_bank_marketing,logistic_regression,0.95,0.7,3280,0,0.0
uci_bank_marketing,logistic_regression,0.95,0.8,3280,0,0.0
uci_bank_marketing,logistic_regression,0.95,0.9,3280,0,0.0
uci_bank_marketing,random_forest,0.85,0.7,6388,12,0.001878522229179712
uci_bank_marketing,random_forest,0.85,0.8,6388,22,0.0034439574201628053
uci_bank_marketing,random_forest,0.85,0.9,6388,55,0.008609893550407014
uci_bank_marketing,random_forest,0.9,0.7,5796,3,0.0005175983436853002
uci_bank_marketing,random_forest,0.9,0.8,5796,6,0.0010351966873706005
uci_bank_marketing,random_forest,0.9,0.9,5796,19,0.0032781228433402345
uci_bank_marketing,random_forest,0.95,0.7,4751,1,0.00021048200378867606
uci_bank_marketing,random_forest,0.95,0.8,4751,1,0.00021048200378867606
uci_bank_marketing,random_forest,0.95,0.9,4751,5,0.0010524100189433804
wisconsin_diagnostic,decision_tree,0.85,0.7,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.85,0.8,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.85,0.9,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.9,0.7,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.9,0.8,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.9,0.9,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.95,0.7,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.95,0.8,114,1,0.008771929824561403
wisconsin_diagnostic,decision_tree,0.95,0.9,114,1,0.008771929824561403
wisconsin_diagnostic,flat_neuro_fuzzy,0.85,0.7,97,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.85,0.8,97,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.85,0.9,97,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.9,0.7,90,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.9,0.8,90,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.9,0.9,90,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.95,0.7,73,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.95,0.8,73,0,0.0
wisconsin_diagnostic,flat_neuro_fuzzy,0.95,0.9,73,0,0.0
