dataset_id,model_family,observed_hcir,expected_hcir_under_independence,observed_minus_expected,high_confidence_n,high_confidence_selected_class_0_n,high_confidence_selected_class_1_n,null_p_unstable_selected_0,null_p_unstable_selected_1
ai4i_2020,decision_tree,0.009,0.033191860536841325,-0.024191860536841324,2000,1934,66,0.00019840800087002225,1.0000000000000004
ai4i_2020,flat_neuro_fuzzy,0.0,0.00014512962222493743,-0.00014512962222493743,1787,1787,0,0.0001451296222249374,1.0
ai4i_2020,gradient_boosting,0.0,0.006446947207896051,-0.006446947207896051,1901,1889,12,0.00013533437914790527,0.9999999999999999
ai4i_2020,logistic_regression,0.0,0.0013585985420639015,-0.0013585985420639015,1833,1831,2,0.00026778324828133907,0.9999999999999997
ai4i_2020,random_forest,0.0,0.00032664770072085537,-0.00032664770072085537,1859,1859,0,0.00032664770072085537,1.0
uci_bank_marketing,decision_tree,0.061919882755251586,0.20136024498024963,-0.13944036222499803,8188,7144,1044,0.08464973208165479,0.999999999910864
uci_bank_marketing,flat_neuro_fuzzy,0.0,0.999935759363655,-0.999935759363655,1720,1720,0,0.999935759363655,0.8156214805206855
uci_bank_marketing,gradient_boosting,0.0,0.12793292139556303,-0.12793292139556303,6472,6471,1,0.12779815596857003,0.9999999994673048
uci_bank_marketing,logistic_regression,0.0,0.1241662207279807,-0.1241662207279807,6301,6300,1,0.12402719949324958,0.9999999995339434
uci_bank_marketing,random_forest,0.0010351966873706005,0.08056825445128446,-0.07953305776391385,5796,5770,26,0.07642523445427289,0.9999999999419307
wisconsin_diagnostic,decision_tree,0.008771929824561403,0.9689902219139526,-0.9602182920893911,114,67,47,0.9479919847149414,0.9989238791976495
wisconsin_diagnostic,flat_neuro_fuzzy,0.0,0.9518169849335227,-0.9518169849335227,90,56,34,0.9228820731509063,0.9994744866931264
wisconsin_diagnostic,gradient_boosting,0.0,0.9395677565882768,-0.9395677565882768,105,63,42,0.8994818351479541,0.9996966387487611
wisconsin_diagnostic,logistic_regression,0.0,0.9312069712176698,-0.9312069712176698,102,61,41,0.8851196475297496,0.9997759162167706
wisconsin_diagnostic,random_forest,0.0,0.9435458505825202,-0.9435458505825202,90,55,35,0.9078526920061335,0.9996350997739851
