fixture_id,defined_cases,trace_passes,roundtrip_passes
M01,10001,10001,10001
M02,10000,10000,10000
M03,40000,40000,40000
M04,40000,40000,40000
M05,40000,40000,40000
M06,40000,40000,40000
S01,10001,10001,10001
S02,10000,10000,10000
S03,40000,40000,40000
S04,40000,40000,40000
S05,40000,40000,40000
S06,40000,40000,40000
GM-01-20260831,10001,10001,10001
GM-02-20260831,10001,10001,10001
GM-03-20260831,10001,10001,10001
GM-04-20260831,10001,10001,10001
GM-05-20260831,10001,10001,10001
GM-06-20260831,10001,10001,10001
GM-07-20260831,10001,10001,10001
GM-08-20260831,10001,10001,10001
GM-09-20260831,10001,10001,10001
GM-10-20260831,10001,10001,10001
GM-11-20260831,10001,10001,10001
GM-12-20260831,10001,10001,10001
GM-13-20260831,10001,10001,10001
GM-14-20260831,10001,10001,10001
GM-15-20260831,10001,10001,10001
GM-16-20260831,10001,10001,10001
GM-17-20260831,10001,10001,10001
GM-18-20260831,10001,10001,10001
GM-19-20260831,10001,10001,10001
GM-20-20260831,10001,10001,10001
GS-01-20260901,10001,10001,10001
GS-02-20260901,10001,10001,10001
GS-03-20260901,10001,10001,10001
GS-04-20260901,10001,10001,10001
GS-05-20260901,10001,10001,10001
GS-06-20260901,10001,10001,10001
GS-07-20260901,10001,10001,10001
GS-08-20260901,10001,10001,10001
GS-09-20260901,10001,10001,10001
GS-10-20260901,10001,10001,10001
GS-11-20260901,10001,10001,10001
GS-12-20260901,10001,10001,10001
GS-13-20260901,10001,10001,10001
GS-14-20260901,10001,10001,10001
GS-15-20260901,10001,10001,10001
GS-16-20260901,10001,10001,10001
GS-17-20260901,10001,10001,10001
GS-18-20260901,10001,10001,10001
GS-19-20260901,10001,10001,10001
GS-20-20260901,10001,10001,10001
