fixture_id,failure_class,count
M02,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
M02,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,1
M03,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,402
M03,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,200
M04,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,401
M05,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,401
M06,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,200
M06,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,402
S02,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
S02,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,1
S03,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,402
S03,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,200
S04,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,401
S05,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,401
S06,ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,200
S06,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,402
GM-01-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-02-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-03-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-04-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-05-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-06-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-07-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-08-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-09-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-10-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-11-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-12-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-13-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-14-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-15-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-16-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-17-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-18-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-19-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GM-20-20260831,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-01-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-02-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-03-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-04-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-05-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-06-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-07-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-08-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-09-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-10-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-11-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-12-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-13-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-14-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-15-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-16-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-17-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-18-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-19-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
GS-20-20260901,TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,1
